file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__021,53-Synechocystis_6803-cell-11p-2,53,11p,16,2,21,1321422686,607879924.7,43413104.6,799238213.4,813858506.3,578539230.1,12794786.61,316715129.7,40142435.15,552216991.6,166953799.2,277450276.2,208387050.2,609978405.9,1183693971,829500585.8,658071502.1,308960004.2,278317284.5,577541071.1
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__020,54-Synechocystis_6803-cell-11p-3,54,11p,16,3,20,1124880514,605660506,13288152.61,737101232.9,728560429.7,540434614.5,13277598.39,303044847.4,38245751,321529228.9,198846550.2,539854662.7,262846610.4,572602124.5,1242701301,905317325.3,631993502,324718325.3,285752959.8,624351289.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__049,55-Synechocystis_6803-cell-1a-1,55,1a,18,1,49,1303222132,542707478.1,35485434.21,735903223.7,760574201.8,526497004.4,9994671.053,329170425.4,34204868.42,640309184.2,175302872.8,246608342.1,244424456.1,565587622.8,1082084325,722269728.1,586280179.8,310587377.2,263260258.8,625167131.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__016,56-Synechocystis_6803-cell-1a-2,56,1a,18,2,16,1179010926,552438311.5,29257102.46,691529832,685686692.6,488790881.1,16841663.93,280783192.6,24369422.13,458588582,141784860.7,290969209,166865991.8,512459155.7,167313709,712235561.5,552360295.1,260580573.8,243945606.6,524812209
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__032,57-Synechocystis_6803-cell-1a-3,57,1a,18,3,32,1284747918,603468434.8,23483057.97,772546830.9,743146628,523330391.3,13088289.86,309900067.6,24509512.08,488225748.8,192445154.6,357713304.3,239738014.5,579129430,1217606643,848970096.6,616594666.7,314466512.1,281498246.4,641822434.8
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__025,58-Synechocystis_6803-cell-3a-1,58,3a,20,1,25,1114528316,397310109.4,80055699.22,509067214.8,580874019.5,342008605.5,7631566.406,255913097.7,18278464.84,592458019.5,102894418,85414316.41,86812804.69,388620605.5,619697203.1,387122980.5,434684105.5,232611668,158720222.7,395293535.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__028,59-Synechocystis_6803-cell-3a-2,59,3a,20,2,28,1224632008,498414301.9,77735343.4,636559449.1,701532566,457530426.4,12084554.72,281106264.2,17602905.66,556505120.8,124163584.9,142695343.4,145168581.1,475106188.7,883474071.7,575042649.1,531255339.6,262079826.4,204089901.9,456682184.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__056,60-Synechocystis_6803-cell-3a-3,60,3a,20,3,56,1069429951,505971851.6,33157240.28,650224632.5,669283371,475844678.4,9643385.159,268316844.5,26048565.37,479933494.7,161313056.5,223629735,239996250.9,495245091.9,952816137.8,689541162.5,515927947,242341000,228712586.6,512897187.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__034,61-Synechocystis_6803-cell-5a_day2-1,61,5a_day2,22,1,34,1244969573,663095950.2,24497419.09,785323966.8,777495800.8,561438925.3,17830186.72,306035074.7,28767406.64,452392643.2,185027771.8,403640199.2,259385336.1,586807145.2,1217687834,861968410.8,638973597.5,295301717.8,282537734.4,625589273.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__038,62-Synechocystis_6803-cell-5a_day2-2,62,5a_day2,22,2,38,1213570814,566257310.1,42524996.12,705289569.8,753466802.3,510813748.1,14553337.21,294153391.5,28878108.53,490413922.5,143079023.3,256309794.6,214404449.6,530546949.6,1043645554,672383178.3,577747112.4,250934317.8,247925562,523317759.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__012,63-Synechocystis_6803-cell-5a_day2-3,63,5a_day2,22,3,12,1033051515,491770127.7,22822489.05,602510649.6,628915397.8,426696237.2,14629569.34,239805324.8,28023715.33,362840562,144209339.4,274965200.7,146647689.8,447207262.8,957099642.3,686474073,491113573,229654109.5,226997146,484480941.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__080,64-Synechocystis_6803-cell-6a_day2-1,64,6a_day2,23,1,80,1191653867,574276907.7,27957966.79,722082468.6,749459826.6,536303070.1,8512387.454,313650557.2,40033896.68,489393546.1,176043841.3,323839302.6,328278439.1,568759988.9,1127461181,787924516.6,613085287.8,274713878.2,265711564.6,555665391.1
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__081,65-Synechocystis_6803-cell-6a_day3-2,65,6a_day3,23,2,81,779565475.4,403069259,3420213.115,481767855.7,494936639.3,327419675.4,10690750.82,183113934.4,20935137.7,160771737.7,115402662.3,402852862.3,280933078.7,359023327.9,808967360.7,664243786.9,375806914.8,175559144.3,181309957.4,417550803.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__026,66-Synechocystis_6803-cell-6a_day4-3,66,6a_day4,23,3,26,900034571.4,474429416.1,11884602.48,542905130.4,589168304.3,392477922.4,20113065.22,225371344.7,19810571.43,98344378.88,132244698.8,478740673.9,220711987.6,433413146,948761801.2,838747860.2,474602863.4,218201304.3,220880841.6,469190018.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__060,67-Synechocystis_6803-cell-630a_day2-1,67,630a_day2,23.5,1,60,1110005891,632955899.2,4306991.935,697300560.5,730170056.5,501267935.5,19927842.74,286594806.5,30882395.16,122638621,117780996,736943939.5,433059391.1,558109653.2,1229982157,1067628722,605057616.9,287910778.2,278106000,632457076.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__030,68-Synechocystis_6803-cell-630a_day3-2,68,630a_day3,23.5,2,30,1235535515,635964528.6,21374726.87,678273770.9,760100986.8,474875947.1,25550488.99,288782859,31955541.85,138494096.9,110834577.1,637958207,282768052.9,540914251.1,1222143137,1100693480,595633132.2,274223330.4,282089559.5,608730955.9
